Declaration Number,County,State,State_FIPS,County_FIPS,StCounty_FIPS,FEMA Region,Declaration Date,Incident,Incident Type,SEASON
183,Alpine,CA,CA,003,06003,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Amador,CA,CA,005,06005,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Butte,CA,CA,007,06007,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Colusa,CA,CA,011,06011,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Del Norte,CA,CA,015,06015,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,El Dorado,CA,CA,017,06017,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Glenn,CA,CA,021,06021,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Humboldt,CA,CA,023,06023,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Lake,CA,CA,033,06033,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Lassen,CA,CA,035,06035,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Marin,CA,CA,041,06041,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Mendocino,CA,CA,045,06045,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Modoc,CA,CA,049,06049,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Napa,CA,CA,055,06055,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Nevada,CA,CA,057,06057,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Placer,CA,CA,061,06061,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Plumas,CA,CA,063,06063,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Sacramento,CA,CA,067,06067,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,San Joaquin,CA,CA,077,06077,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Shasta,CA,CA,089,06089,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Sierra,CA,CA,091,06091,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Siskiyou,CA,CA,093,06093,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Solano,CA,CA,095,06095,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Sonoma,CA,CA,097,06097,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Stanislaus,CA,CA,099,06099,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Sutter,CA,CA,101,06101,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Tehama,CA,CA,103,06103,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Trinity,CA,CA,105,06105,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Tuolumne,CA,CA,109,06109,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Yolo,CA,CA,113,06113,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
183,Yuba,CA,CA,115,06115,9,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Baker,OR,OR,001,41001,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Benton,OR,OR,003,41003,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Clackamas,OR,OR,005,41005,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Clatsop,OR,OR,007,41007,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Columbia,OR,OR,009,41009,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Coos,OR,OR,011,41011,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Crook,OR,OR,013,41013,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Curry,OR,OR,015,41015,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Deschutes,OR,OR,017,41017,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Douglas,OR,OR,019,41019,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Gilliam,OR,OR,021,41021,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Grant,OR,OR,023,41023,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Harney,OR,OR,025,41025,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Hood River,OR,OR,027,41027,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Jackson,OR,OR,029,41029,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Jefferson,OR,OR,031,41031,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Josephine,OR,OR,033,41033,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Klamath,OR,OR,035,41035,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Lake,OR,OR,037,41037,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Lane,OR,OR,039,41039,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Lincoln,OR,OR,041,41041,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Linn,OR,OR,043,41043,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Malheur,OR,OR,045,41045,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Marion,OR,OR,047,41047,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Morrow,OR,OR,049,41049,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Multnomah,OR,OR,051,41051,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Polk,OR,OR,053,41053,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Sherman,OR,OR,055,41055,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Tillamook,OR,OR,057,41057,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Umatilla,OR,OR,059,41059,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Union,OR,OR,061,41061,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Wallowa,OR,OR,063,41063,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Wasco,OR,OR,065,41065,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Washington,OR,OR,067,41067,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Wheeler,OR,OR,069,41069,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
184,Yamhill,OR,OR,071,41071,10,24-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Asotin,WA,WA,003,53003,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Benton,WA,WA,005,53005,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Clark,WA,WA,011,53011,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Columbia,WA,WA,013,53013,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Cowlitz,WA,WA,015,53015,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Garfield,WA,WA,023,53023,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Grays Harbor,WA,WA,027,53027,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,King,WA,WA,033,53033,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Kittitas,WA,WA,037,53037,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Klickitat,WA,WA,039,53039,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Lewis,WA,WA,041,53041,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Mason,WA,WA,045,53045,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Pacific,WA,WA,049,53049,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Pierce,WA,WA,053,53053,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Skamania,WA,WA,059,53059,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Snohomish,WA,WA,061,53061,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Spokane,WA,WA,063,53063,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Wahkiakum,WA,WA,069,53069,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Walla Walla,WA,WA,071,53071,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Whitman,WA,WA,075,53075,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
185,Yakima,WA,WA,077,53077,10,29-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Ada,ID,ID,001,16001,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Bannock,ID,ID,005,16005,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Benewah,ID,ID,009,16009,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Blaine,ID,ID,013,16013,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Boise,ID,ID,015,16015,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Bonneville,ID,ID,019,16019,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Butte,ID,ID,023,16023,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Camas,ID,ID,025,16025,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Caribou,ID,ID,029,16029,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Cassia,ID,ID,031,16031,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Clearwater,ID,ID,035,16035,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Elmore,ID,ID,039,16039,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Gem,ID,ID,045,16045,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Gooding,ID,ID,047,16047,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Idaho,ID,ID,049,16049,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Jerome,ID,ID,053,16053,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Kootenai,ID,ID,055,16055,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
186,Latah,ID,ID,057,16057,10,31-Dec-64,HEAVY RAINS & FLOODING,Flood,Winter
