Date,Snow Water Equivalent (in) Start of Month Values
Jan-90,6.6
Feb-90,9.1
Mar-90,12.1
Apr-90,17.5
May-90,19.8
Jun-90,3.9
Jul-90,0
Aug-90,0
Sep-90,0
Oct-90,0
Nov-90,0.1
Dec-90,2.7
Jan-91,5
Feb-91,6.7
Mar-91,8
Apr-91,13.1
May-91,15.4
Jun-91,0
Jul-91,0
Aug-91,0
Sep-91,0
Oct-91,0
Nov-91,1
Dec-91,7.1
Jan-92,7.3
Feb-92,8.8
Mar-92,10.5
Apr-92,16.1
May-92,11.9
Jun-92,0
Jul-92,0
Aug-92,0
Sep-92,0
Oct-92,0
Nov-92,0.5
Dec-92,4.2
Jan-93,6.2
Feb-93,10.2
Mar-93,15.7
Apr-93,20
May-93,25.3
Jun-93,4.3
Jul-93,0
Aug-93,0
Sep-93,0
Oct-93,0
Nov-93,1.9
Dec-93,4.4
Jan-94,6
Feb-94,8.8
Mar-94,12.6
Apr-94,16.3
May-94,17.2
Jun-94,0
Jul-94,0
Aug-94,0
Sep-94,0
Oct-94,0
Nov-94,1
Dec-94,4.2
Jan-95,5.6
Feb-95,7.7
Mar-95,9.5
Apr-95,12.8
May-95,19.9
Jun-95,27.6
Jul-95,0
Aug-95,0
Sep-95,0
Oct-95,0
Nov-95,1.7
Dec-95,6.7
Jan-96,10
Feb-96,16
Mar-96,19.2
Apr-96,23.2
May-96,27.3
Jun-96,3.4
Jul-96,0
Aug-96,0
Sep-96,0
Oct-96,0
Nov-96,1.7
Dec-96,5.7
Jan-97,12.5
Feb-97,19.3
Mar-97,21
Apr-97,23.3
May-97,30.3
Jun-97,12.9
Jul-97,0
Aug-97,0
Sep-97,0
Oct-97,0
Nov-97,2.1
Dec-97,4.5
Jan-98,6.7
Feb-98,10.5
Mar-98,13
Apr-98,16
May-98,20.8
Jun-98,1.2
Jul-98,0
Aug-98,0
Sep-98,0
Oct-98,0
Nov-98,1.5
Dec-98,2.7
Jan-99,6.1
Feb-99,10.5
Mar-99,13.2
Apr-99,15.3
May-99,24.5
Jun-99,18.4
Jul-99,0
Aug-99,0
Sep-99,0
Oct-99,0
Nov-99,0.1
Dec-99,2.1
Jan-00,5.5
Feb-00,10.9
Mar-00,14.8
Apr-00,21.2
May-00,18.4
Jun-00,0
Jul-00,0
Aug-00,0
Sep-00,0
Oct-00,0
Nov-00,0.3
Dec-00,4
Jan-01,7.8
Feb-01,8.6
Mar-01,11.8
Apr-01,14.8
May-01,15.7
Jun-01,0
Jul-01,0
Aug-01,0
Sep-01,0
Oct-01,0
Nov-01,0.1
Dec-01,2.7
Jan-02,5
Feb-02,7
Mar-02,9.5
Apr-02,10.5
May-02,6.2
Jun-02,0
Jul-02,0
Aug-02,0
Sep-02,0
Oct-02,0
Nov-02,1.9
Dec-02,4.1
Jan-03,5.8
Feb-03,7.5
Mar-03,11.9
Apr-03,19.2
May-03,19.3
Jun-03,1.6
Jul-03,0
Aug-03,0
Sep-03,0
Oct-03,0
Nov-03,0
Dec-03,3.6
Jan-04,6
Feb-04,8.4
Mar-04,10.7
Apr-04,10.7
May-04,14.6
Jun-04,0
Jul-04,0
Aug-04,0
Sep-04,0
Oct-04,0
Nov-04,0.8
Dec-04,4.2
Jan-05,6.4
Feb-05,9.3
Mar-05,11.1
Apr-05,13.9
May-05,15.7
Jun-05,1.2
Jul-05,0
Aug-05,0
Sep-05,0
Oct-05,0
Nov-05,0
Dec-05,4
Jan-06,8.1
Feb-06,11
Mar-06,13
Apr-06,16.4
May-06,13.2
Jun-06,0
Jul-06,0
Aug-06,0
Sep-06,0
Oct-06,0
